id,type,uid,content,add_time,ups
6700204232233892154,0,2846025036,凡凡太可爱了1,23686,0
6699822903562173805,0,4236604620,40分钟？,23058,1
6699836462773944448,0,4022786177,凡。。我跟你走吧 哈哈,23945,0
6700036118623824910,0,1364686550,凡凡,23306,0
6699829401847701621,0,3324392478,宋茜宋茜宋茜姐姐,23139,0
6700401229498941523,0,2596214375,怎么华丽法,24071,0
6699821825525380747,0,3438246072,小不点,24843,2
6699822207777470696,0,823913722,宋茜！！,24000,1
6699940675860440332,0,706324879,来看宋小茜啦,24000,0
6699953994554029078,0,3032292763,来了,24574,0
6699937914196468385,0,615423942,吴亦凡安排,24000,0
6700077814166390078,0,3852285417,来了,25729,0
6700030298943122775,0,1665679152,有点想大华了！,25000,0
6699999770315498869,0,683007372,每期都等待,25314,0
6699894483487166661,0,2849757028,来喽,25128,0
6699851602533674411,0,3713448562,这个时长好短,25030,0
6699823887109686025,0,3614837007,来了哈哈哈哈哈,25000,0
6699833043979972901,0,2153428441,茜姐,26000,1
6700085360423935607,0,4176761663,小不点,26264,0
6699820373826431846,0,3258994062,看凡凡来啦,26000,1
6699974064936212829,0,3962312986,凡凡我来了,26210,0
6699824381030925765,0,1593475178,嘻嘻嘻 大碗我来了,26835,0
6699823711016026659,0,511220824,来咯,26000,0
6699841127108432523,0,1410619721,正版的都没人 全跑这来了,27395,1
6700316751787134754,0,3611461542,啊啊啊小不点,27000,0
6699820244977412625,0,1655668672,凡凡我来啦,27702,1
6700150553732575738,0,802445548,就地解决,27031,0
6700012221425720115,0,1278778387,吴亦凡我来啦？？？！！？,27330,0
6699991493913512641,0,3637633546,哈哈哈,27709,0
6699967343312390915,0,2752427286,来了,28000,0
6699818286472322359,0,34618706,人呢？,28000,1
6699834749081991425,0,3353490642,茜崽子我来了,28010,0
6699821632251852083,0,254921852,来了来了，来看凡凡,28000,0
6699826361010851975,0,1379657343,来咯,28695,0
6699819819775649394,0,691565450,外卖点起，小龙虾,28052,0
6699843918837177357,0,173125691,我是来看看到现在还有没有人把独享当正版的,29115,2
6700029530143974374,0,4189087192,吴亦凡,29000,0
6699881224923122404,0,927950658,哇～好空旷,29552,0
6700137810564597680,0,1749107150,我还以为plus会更长,29296,0
6699825240024386174,0,2417597854,怎么才四十多分钟,29013,0
6699820489790549138,0,2265711266,来了,29000,0
6699981838827023732,0,3172458033,这羊太可爱了,30529,7
6699839031164390169,0,3634159688,凡凡超可爱,30000,2
6699834585873233983,0,3225119400,吴亦凡！！！！,30232,1
6700357880393980777,0,282634967,宋茜啊啊啊啊啊,30000,0
6699822972281650632,0,1164518529,关了电视重新来看凡凡,30000,1
6700140537868832850,0,105212505,来咯来咯来咯他们真的来咯,30194,0
6699859909000428206,0,2605847748,这个版本有啥区别？,31819,2
6700405292538008052,0,1529754375,来了,31103,0
6699955003871344021,0,4220897580,嗯嗯,31731,0
6699833056864874808,0,354695695,来看宋茜了,31000,0
6699830857841616680,0,2982576322,凡凡 我来了 00:45打卡,31372,0
6699823092540735102,0,2210387175,凡哥 我来了,31000,0
6700148384774089378,0,4251755915,茜茜呐～我来啦,32205,1
6700010378884744923,0,1641817126,凡凡啊，我来了,32896,1
6700029886626261074,0,3372188394,我来啦哈哈哈哈看凡哥,32692,0
6699831308813183268,0,439804885,"友情提示这是plus版
",32130,0
6699831570806188638,0,2651882241,刚来,32727,0
6699821748215969286,0,254921852,看吴亦凡真不容易，等三期,32000,0
6700185269953264194,0,3895230530,表白凡凡,33850,0
6700133305143900339,0,2074962847,来了,33099,0
6700049922648739736,0,3818864073,宋茜！！！！zc,33346,0
6700004791132275630,0,1681879663,帅呀,33342,0
6699956537174669294,0,1074112148,帅帅的,33008,0
6699830106222338998,0,739922680,凡凡我来啦,33333,0
6700129602882088118,0,3773230929,小不点实在是太萌了,34086,1
6699941642228082145,0,3530553996,宋茜我来辽,34193,2
6700369193337846112,0,3876575486,怎么只有40分钟,34000,0
6700229701389968311,0,2457241715,来了,34468,0
6700040220317601479,0,1203339739,炅炅超可爱,34638,0
6700003880599205630,0,3821714282,来了,34705,0
6699968275320294652,0,1040548250,宋茜,35862,2
6700090651823648739,0,3156933916,凡凡啊,35540,0
6699831682475338451,0,1504129627,我凡太高了,35945,1
6699982934043685001,0,266922413,木木小宝贝我喜欢你,35751,0
6699944781849176305,0,2509401106,来了,35003,0
6699841178648040120,0,1475985297,茜茜，我来啦,35000,0
6700326166355450518,0,4162244752,茜宝我来啦,36000,0
6699818870587875429,0,2440973867,小羊好好看,36353,2
6699974021986539834,0,1289244893,来了看凡凡,36932,0
6699831304518215965,0,3699566181,以前沒有多大感覺，現在覺得凡凡超級可愛,36000,0
6699821134035644906,0,1884210961,哈哈 凡都快碰到屋顶了,36938,0
6699820073178720370,0,4102301855,是我 ,36000,0
6700357953408424853,0,282634967,宋茜我来了,37000,0
6700019247992236554,0,1199598751,来了,37964,0
6700015223607868767,0,3274452534,大华什么时候回来,37997,0
6700005611471032411,0,1267995835,来看凡凡,37865,0
6699934924899229758,0,1661654503,我们会,37000,0
6699820760373489421,0,4125367786,嘿嘿,37149,0
